Domain,L0,Time Used,Time
facebook.com,Social,5,2017-02-13T17:01:48.045Z
twitter.com,Social,8,2017-02-13T17:01:46.368Z
twitter.com,Social,4,2017-02-13T17:01:42.397Z
twitter.com,Social,1,2017-02-13T16:59:51.621Z
twitter.com,Social,7,2017-02-13T16:59:38.999Z
twitter.com,Social,1,2017-02-13T16:59:37.802Z
t.co,Social,4,2017-02-13T16:59:33.621Z
engadget.com,Read,9,2017-02-13T16:59:22.484Z
engadget.com,Read,1,2017-02-13T16:59:21.213Z
facebook.com,Social,13,2017-02-13T16:59:07.124Z
pastemagazine.com,Read,5,2017-02-13T16:59:01.357Z
twitter.com,Social,2,2017-02-13T16:56:25.192Z
t.co,Social,6,2017-02-13T16:56:18.962Z
pastemagazine.com,Read,14,2017-02-13T16:55:16.737Z
pastemagazine.com,Read,23,2017-02-13T16:54:53.639Z
facebook.com,Social,27,2017-02-13T16:54:49.214Z
facebook.com,Social,12,2017-02-13T16:54:36.297Z
facebook.com,Social,8,2017-02-13T16:54:28.373Z
online.americanexpress.com,Work,6,2017-02-13T16:28:35.537Z
cbp.gov,Find,8,2017-02-13T16:28:27.326Z
mail.google.com,Comms,4,2017-02-13T16:28:05.733Z
mail.google.com,Comms,2,2017-02-13T16:28:03.315Z
mail.google.com,Comms,3,2017-02-13T16:28:00.115Z
mail.google.com,Comms,2,2017-02-13T16:27:57.522Z
mail.google.com,Comms,65,2017-02-13T16:26:52.324Z
mail.google.com,Comms,5,2017-02-13T16:26:47.415Z
mail.google.com,Comms,6,2017-02-13T16:26:41.846Z
fusion.net,Read,600,2017-02-13T16:08:55.797Z
online.americanexpress.com,Work,1,2017-02-13T16:08:54.336Z
mail.google.com,Comms,1,2017-02-13T16:08:52.780Z
cbp.gov,Find,4,2017-02-13T16:08:48.934Z
goes-app.cbp.dhs.gov,Find,7,2017-02-13T16:08:42.429Z
cbp.gov,Find,12,2017-02-13T16:08:30.398Z
cbp.gov,Find,7,2017-02-13T16:08:23.743Z
cbp.gov,Find,5,2017-02-13T16:08:18.358Z
cbp.gov,Find,15,2017-02-13T16:08:03.268Z
cbp.gov,Find,12,2017-02-13T16:07:51.472Z
cbp.gov,Find,9,2017-02-13T16:07:42.896Z
cbp.gov,Find,53,2017-02-13T16:06:49.960Z
google.com,Find,11,2017-02-13T16:06:38.884Z
mail.google.com,Comms,4,2017-02-13T16:06:34.158Z
mail.google.com,Comms,6,2017-02-13T16:06:28.459Z
mail.google.com,Comms,5,2017-02-13T16:06:22.520Z
prep.hackreactor.com,Other,5,2017-02-13T16:06:22.200Z
online.americanexpress.com,Work,2,2017-02-13T16:02:06.520Z
applymagicsauce.com,Other,2,2017-02-13T16:02:04.143Z
kenmore.com,Other,3,2017-02-13T16:02:01.325Z
play.spotify.com,Fun,3,2017-02-13T16:01:57.757Z
csouffrantntim.com,Other,1,2017-02-13T16:01:56.488Z
airbnb.io,Other,1,2017-02-13T16:01:54.273Z
airbnb.io,Other,4,2017-02-13T16:01:49.469Z
github.com,Work,2,2017-02-13T16:01:47.234Z
fusion.net,Read,429,2017-02-13T16:01:46.533Z
airbnb.io,Other,1,2017-02-13T16:01:39.168Z
fusion.net,Read,9,2017-02-13T16:01:37.777Z
online.americanexpress.com,Work,1,2017-02-13T16:01:36.574Z
localhost,Other,4,2017-02-13T16:01:31.123Z
gitlab.com,Work,1,2017-02-13T16:01:29.460Z
localhost,Other,1,2017-02-13T16:01:27.973Z
localhost,Other,18,2017-02-13T16:01:05.106Z
localhost,Other,5,2017-02-13T16:01:00.295Z
localhost,Other,27,2017-02-13T16:00:33.740Z
localhost,Other,12,2017-02-13T16:00:21.838Z
localhost,Other,4,2017-02-13T16:00:17.972Z
online.americanexpress.com,Work,397,2017-02-13T15:47:23.378Z
icloud.com,Work,15,2017-02-13T15:47:07.824Z
appleid.apple.com,Other,3,2017-02-13T15:45:59.793Z
icloud.com,Work,35,2017-02-13T15:44:49.942Z
icloud.com,Work,2,2017-02-13T15:44:29.015Z
apple.com,Shop,2,2017-02-13T15:42:05.257Z
secure1.store.apple.com,Other,1,2017-02-13T15:41:25.702Z
apple.com,Shop,7,2017-02-13T15:41:18.234Z
apple.com,Shop,3,2017-02-13T15:40:58.268Z
online.americanexpress.com,Work,1,2017-02-13T15:20:28.516Z
online.americanexpress.com,Work,10,2017-02-13T15:20:08.711Z
online.americanexpress.com,Work,3,2017-02-13T15:20:00.961Z
americanexpress.com,Work,5,2017-02-13T15:19:56.207Z
americanexpress.com,Work,16,2017-02-13T15:19:34.048Z
servicing.capitalone.com,Work,10,2017-02-13T15:11:58.410Z
login2.capitalone.com,Work,2,2017-02-13T15:11:56.285Z
verified.capitalone.com,Work,3,2017-02-13T15:11:40.702Z
capitalone.com,Work,9,2017-02-13T15:11:31.403Z
fusion.net,Read,600,2017-02-13T14:56:29.414Z
linkedin.com,Social,107,2017-02-13T14:50:51.477Z
fusion.net,Read,351,2017-02-13T14:50:37.926Z
facebook.com,Social,5,2017-02-13T14:50:32.765Z
mail.google.com,Comms,4,2017-02-13T14:50:28.143Z
mail.google.com,Comms,1,2017-02-13T14:45:12.673Z
mail.google.com,Comms,2,2017-02-13T14:45:10.674Z
mail.google.com,Comms,5,2017-02-13T14:45:05.869Z
fusion.net,Read,415,2017-02-13T14:43:43.256Z
linkedin.com,Social,129,2017-02-13T14:41:33.918Z
twitter.com,Social,78,2017-02-13T14:40:09.440Z
fusion.net,Read,19,2017-02-13T14:39:50.663Z
ww1.gogoanime.io,Other,1,2017-02-13T14:38:50.938Z
play.spotify.com,Fun,600,2017-02-13T14:38:26.093Z
play.spotify.com,Fun,6,2017-02-13T14:14:22.808Z
play.spotify.com,Fun,8,2017-02-13T14:14:14.570Z
play.spotify.com,Fun,7,2017-02-13T14:14:03.972Z
fusion.net,Read,13,2017-02-13T14:13:50.982Z
fusion.net,Read,19,2017-02-13T14:12:57.278Z
fusion.net,Read,60,2017-02-13T14:11:57.601Z
youtube.com,Fun,1,2017-02-13T14:11:55.026Z
fusion.net,Read,16,2017-02-13T14:11:39.017Z
facebook.com,Social,2,2017-02-13T14:11:36.850Z
fusion.net,Read,17,2017-02-13T14:11:19.459Z
fusion.net,Read,12,2017-02-13T14:11:05.846Z
facebook.com,Social,108,2017-02-13T14:09:12.692Z
youtube.com,Fun,11,2017-02-13T14:09:01.752Z
facebook.com,Social,3,2017-02-13T14:08:58.806Z
youtube.com,Fun,4,2017-02-13T14:08:54.779Z
facebook.com,Social,16,2017-02-13T14:08:36.828Z
play.spotify.com,Fun,329,2017-02-13T14:08:34.517Z
facebook.com,Social,39,2017-02-13T14:07:55.696Z
mail.google.com,Comms,1,2017-02-13T14:07:42.114Z
mail.google.com,Comms,2,2017-02-13T14:07:40.435Z
mail.google.com,Comms,5,2017-02-13T14:07:35.828Z
